scenario,target,outage_s,rep,elapsed_s,phase,reachable,requests_total,committed_total,msgs_per_s,committed_per_s
load_p20.env,broker,30,1,2,baseline,1,95996,95326,6825.25,6782.52
load_p20.env,broker,30,1,4,baseline,1,135958,135326,9595.88,9555.11
load_p20.env,broker,30,1,6,baseline,1,175951,175326,12348.00,12307.75
load_p20.env,broker,30,1,8,baseline,1,215962,215326,15089.51,15049.52
load_p20.env,broker,30,1,10,baseline,1,255978,255326,17395.64,17357.14
load_p20.env,broker,30,1,12,baseline,1,295969,295326,18854.25,18861.18
load_p20.env,broker,30,1,14,baseline,1,335999,335326,19707.50,19714.29
load_p20.env,broker,30,1,16,baseline,1,375952,375326,19996.86,20000.00
load_p20.env,broker,30,1,18,baseline,1,416014,415326,20004.00,20000.00
load_p20.env,broker,30,1,20,baseline,1,455981,455326,20002.14,20000.00
load_p20.env,broker,30,1,22,baseline,1,496085,495326,20008.79,20000.00
load_p20.env,broker,30,1,25,baseline,1,535973,535326,20000.33,20000.00
load_p20.env,broker,30,1,27,baseline,1,575952,575326,19996.08,20000.00
load_p20.env,broker,30,1,29,baseline,1,616049,615326,20008.08,20000.00
load_p20.env,broker,30,1,31,baseline,1,655925,655326,19992.58,20000.00
load_p20.env,broker,30,1,33,baseline,1,695977,695326,19999.67,20000.00
load_p20.env,broker,30,1,35,baseline,1,736105,735326,20001.67,20000.00
load_p20.env,broker,30,1,37,baseline,1,775993,775326,20001.67,20000.00
load_p20.env,broker,30,1,39,baseline,1,816017,815326,20005.42,20000.00
load_p20.env,broker,30,1,41,baseline,1,856104,855326,20004.58,20000.00
load_p20.env,broker,30,1,43,baseline,1,895972,895326,20003.92,20000.00
load_p20.env,broker,30,1,45,baseline,1,935965,935326,19999.00,20000.00
load_p20.env,broker,30,1,47,baseline,1,976102,975326,19999.75,20000.00
load_p20.env,broker,30,1,49,baseline,1,1015956,1015326,19996.92,20000.00
load_p20.env,broker,30,1,51,baseline,1,1055984,1055326,19997.25,20000.00
load_p20.env,broker,30,1,53,baseline,1,1096052,1095326,19995.67,20000.00
load_p20.env,broker,30,1,55,baseline,1,1135925,1135326,19996.08,20000.00
load_p20.env,broker,30,1,57,baseline,1,1175963,1175326,19999.83,20000.00
load_p20.env,broker,30,1,59,baseline,1,1215901,1215326,19983.25,20000.00
load_p20.env,broker,30,1,61,outage,1,1255982,1255326,20002.17,20000.00
load_p20.env,broker,30,1,63,outage,1,1295888,1295326,19992.00,20000.00
load_p20.env,broker,30,1,65,outage,1,0,0,16653.00,16666.67
load_p20.env,broker,30,1,67,outage,1,0,0,13330.25,13333.33
load_p20.env,broker,30,1,69,outage,1,0,0,9993.75,10000.00
load_p20.env,broker,30,1,71,outage,0,,,6395.23,6395.73
load_p20.env,broker,30,1,74,outage,0,,,3311.20,3318.67
load_p20.env,broker,30,1,76,outage,0,,,0.00,0.00
load_p20.env,broker,30,1,78,outage,0,,,0.00,0.00
load_p20.env,broker,30,1,80,outage,0,,,0.00,0.00
load_p20.env,broker,30,1,82,outage,0,,,,
load_p20.env,broker,30,1,84,outage,0,,,,
load_p20.env,broker,30,1,86,outage,0,,,,
load_p20.env,broker,30,1,88,outage,0,,,,
load_p20.env,broker,30,1,90,recovery,0,,,,
load_p20.env,broker,30,1,92,recovery,0,,,,
load_p20.env,broker,30,1,94,recovery,0,,,,
load_p20.env,broker,30,1,96,recovery,0,,,,
load_p20.env,broker,30,1,98,recovery,0,,,,
load_p20.env,broker,30,1,100,recovery,0,,,,
load_p20.env,broker,30,1,102,recovery,1,0,0,,
load_p20.env,broker,30,1,104,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,106,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,108,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,110,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,112,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,114,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,116,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,118,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,120,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,122,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,124,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,126,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,128,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,131,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,133,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,135,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,137,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,139,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,141,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,143,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,145,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,147,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,149,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,151,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,153,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,155,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,157,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,159,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,161,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,163,recovery,1,0,0,0.00,0.00
load_p20.env,broker,30,1,165,recovery,1,0,0,0.00,0.00
