scenario,group,value,reps,msgs_s_mean,msgs_s_std,committed_s_mean,committed_s_std,req_p50_mean,req_p50_std,req_p95_mean,req_p95_std,req_p99_mean,req_p99_std,req_p999_mean,req_p999_std,e2e_p50_mean,e2e_p50_std,e2e_p95_mean,e2e_p95_std,e2e_p99_mean,e2e_p99_std,e2e_p999_mean,e2e_p999_std,db_p50_mean,db_p50_std,db_p95_mean,db_p95_std,db_p99_mean,db_p99_std,db_p999_mean,db_p999_std,cpu_cores_mean,cpu_cores_std,mem_mb_mean,mem_mb_std
timescale_batching_off.env,batching,off,3,19367.9672,305.3381,5303.4248,40.2532,2.3056,0.4922,50.1389,9.2407,121.6667,30.1485,190.0833,53.0201,12218.7778,714.6945,23718.3889,1507.1225,25390.6389,1657.1298,25791.5000,1680.7515,12068.4722,774.1282,23707.2778,1539.1507,25394.8611,1657.8609,25786.1111,1680.9781,6.5835,0.0644,607.6239,36.5117
timescale_batching_on.env,batching,on,3,19117.8104,44.3145,19116.7703,41.9391,1.3056,0.0393,22.1667,1.7691,76.3889,13.6579,174.3611,14.4610,35.9722,1.0031,90.1389,5.8414,163.5556,6.8314,252.0556,21.5641,32.2222,0.8118,71.1111,1.7877,126.6667,3.1762,211.1667,5.5765,6.1302,0.2047,596.4412,18.7610
timescale_batchsize_020.env,batchsize,020,3,19155.4361,21.5581,19158.4044,17.5118,1.3889,0.0393,32.0000,15.0261,118.4444,74.7299,220.6667,97.6032,18.0833,0.1800,66.9444,13.6083,158.4167,66.4146,251.6389,89.5165,15.0278,0.5015,38.5000,2.1741,66.5000,6.1418,116.7778,11.0952,6.2174,0.1348,580.6029,37.3560
timescale_batchsize_050.env,batchsize,050,3,19091.1131,0.6027,19088.1105,4.0485,1.2778,0.0393,19.3611,3.3259,48.1111,13.6267,98.2222,40.7091,35.3333,1.6372,87.0833,5.5164,147.6111,9.5409,247.4722,18.3374,32.3611,1.0460,73.8333,2.5883,130.6944,5.2407,220.7500,12.6367,5.9438,0.2252,579.0972,33.5564
timescale_batchsize_100.env,batchsize,100,3,19105.5716,35.6044,19095.0438,52.6229,1.2222,0.0393,21.8333,4.3307,54.0278,1.3749,105.7500,12.7434,62.6944,0.9844,133.6111,3.7170,195.7778,4.5686,251.0556,11.6788,58.1944,0.8880,123.8056,3.2032,183.4167,3.4346,228.4444,2.0865,5.8954,0.0254,561.9363,22.1213
timescale_batchsize_200.env,batchsize,200,3,19070.7820,10.2460,19045.0404,20.7822,1.2778,0.1039,22.3889,2.9030,49.7222,3.6751,120.9444,14.8132,112.1944,1.7537,207.4722,0.4631,242.7778,2.5751,291.8333,6.4259,107.2500,0.3536,202.0833,0.7169,226.3333,2.1602,263.4722,8.2151,6.0557,0.1778,573.7804,29.3669
timescale_batchsize_500.env,batchsize,500,3,19151.6373,42.5171,19133.7611,43.7468,1.4444,0.1416,28.9722,10.8824,62.1389,24.8898,97.0000,35.8807,123.0278,4.9895,233.1944,8.5663,285.3889,29.8214,361.5278,56.7326,118.3611,5.0709,223.5278,4.8640,258.9722,19.7346,325.6667,47.0641,5.9927,0.1667,566.8604,8.8158
timescale_batchto_0050.env,batchto,0050,3,19113.9180,87.6747,19112.9876,86.4541,2.0833,0.3118,46.6111,7.1025,118.6111,21.9450,175.5556,35.9968,37.5278,2.0062,102.7778,7.3819,177.4444,12.9102,250.8333,29.4133,31.3611,0.9436,67.5278,4.2231,104.7500,15.7190,175.5833,32.7584,6.3360,0.0038,583.4279,48.8309
timescale_batchto_0200.env,batchto,0200,3,12751.5054,9016.7381,12753.8034,9018.3779,1.6667,0.0833,39.6250,1.3750,115.2500,19.5000,190.2500,41.9167,35.2917,0.4583,112.4167,5.5833,200.9583,4.9583,292.5833,9.5833,32.0000,0.0833,79.6250,5.3750,148.0417,15.8750,240.3333,32.8333,5.7650,0.7583,576.0589,46.6813
timescale_batchto_0500.env,batchto,0500,3,19119.7103,14.6470,19116.4913,13.0280,1.4444,0.1712,31.0278,18.2934,110.2222,68.3153,206.2500,68.6741,37.8611,0.7827,104.0556,20.7034,206.4444,48.1943,329.5833,13.0769,33.8056,0.7212,77.8333,3.3603,141.4167,4.1096,265.8611,28.2714,6.2461,0.1007,576.5373,23.2686
timescale_batchto_1000.env,batchto,1000,3,12771.9202,9031.1157,12771.2190,9030.6215,1.7500,0.5000,32.8333,11.1667,65.1667,27.4167,113.0417,33.1250,38.3750,2.4583,99.1667,17.3333,159.0000,19.4167,306.1250,7.2917,32.9583,0.4583,78.4583,7.7083,138.0000,12.4167,276.2917,9.2917,5.6396,0.6718,592.5135,36.8912
timescale_load_p04.env,load,p04,3,3642.9525,8.3698,3638.8310,5.3544,1.0278,0.0393,28.4722,0.3356,31.7500,1.5411,75.5556,11.4183,122.4722,1.4343,219.6389,2.0416,247.5556,5.9851,300.2778,15.2805,116.0000,4.8990,215.6389,2.5178,222.6667,1.1863,232.9167,4.4363,1.2889,0.0247,232.0442,20.3104
timescale_load_p08.env,load,p08,3,7382.0006,5.1810,7376.9986,4.3013,1.0278,0.0393,28.0000,0.0000,29.7500,0.2453,66.5833,8.2684,68.1389,0.4374,137.2222,2.0608,174.2500,2.2557,271.2500,11.8382,64.6667,2.0548,127.8611,0.2576,159.4444,1.9748,221.1111,2.4808,2.4131,0.0069,324.0321,7.0283
timescale_load_p16.env,load,p16,3,10048.9211,7105.6635,10044.8569,7102.7921,1.0833,0.0000,27.3333,0.9167,31.4167,1.4167,59.7500,9.1667,39.3750,0.9583,86.5000,1.7500,138.0833,2.2500,246.0833,0.8333,37.0833,0.7500,75.7917,0.5417,128.4583,1.1250,212.9583,0.0417,4.5577,0.3628,490.0309,23.4583
timescale_load_p20.env,load,p20,3,19108.9755,56.6923,19104.9828,62.8237,1.5833,0.0000,26.3056,4.8602,78.4444,30.4614,165.1944,70.0737,36.3889,0.5666,93.7222,4.2526,166.7500,24.1656,278.0278,36.6248,32.0556,0.5945,75.0833,0.0680,131.8333,2.1932,214.6667,3.1180,6.1593,0.1651,562.7010,5.0613
timescale_load_p32.env,load,p32,3,31368.6957,146.7071,31366.0656,181.9214,45.1111,5.8911,754.7222,190.9994,926.6111,227.5622,1014.5000,258.1884,93.4722,6.1600,851.1111,173.5478,1038.3889,233.8340,1192.0278,209.2873,30.8889,1.9128,189.3889,27.0588,390.7500,113.5100,591.6667,211.6617,7.3805,0.1330,995.0145,26.1548
timescale_load_p48.env,load,p48,3,37134.1320,251.9803,37476.8602,185.4220,1048.7778,465.1211,1864.2222,777.5482,2432.5278,816.5628,2717.1389,729.1421,1166.0000,465.1625,2759.5556,1404.0277,3384.7222,1603.6460,3952.8056,1954.7359,81.5556,16.9564,1252.1111,819.6074,1868.7778,896.2071,2305.9167,988.2580,7.3263,0.1815,1935.6476,264.9212
timescale_load_p64.env,load,p64,3,18500.4785,1082.0277,13276.7887,1564.1234,2188.1667,272.9940,9723.3333,742.8316,12357.0556,1436.7597,13137.1944,1504.1575,2723.8889,394.6813,16177.8056,1546.8620,21072.2222,912.0015,23140.0278,1223.5556,615.7500,152.9405,11251.6944,1750.6999,14602.6111,1563.8633,16740.1111,1342.0364,,,,
timescale_payload_0.env,payload,0,3,19055.9885,19.4204,19051.6118,15.7039,1.3056,0.0786,19.5278,2.2825,51.3611,9.3515,112.0000,10.5161,34.8889,0.3928,85.0278,1.1413,147.0000,7.7055,240.8889,14.9056,31.4444,0.4157,71.3889,1.1187,125.5000,4.8151,209.8333,7.3683,6.0641,0.1457,639.6465,63.6120
